Time(HH:MM:SS:sss),CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12,CV13,CV14,CV15,CV16,Cell_Diff,Module_Voltage(V),Current(A),Capacity(AH),Temp1,Temp2,Temp3,Temp_Diff
2:5:44:2190,03.233900,3.233700,3.238500,3.233800,3.234800,3.234400,3.235800,3.236100,3.233000,3.234300,3.236100,3.231400,3.235000,3.234100,3.234900,3.235100,0.007100,51.766998,0.000000,0.000000,28.026764,28.007889,28.074020,0.066132
2:5:44:4130,03.234400,3.233900,3.238500,3.234200,3.235100,3.234800,3.236300,3.236800,3.233400,3.234800,3.236300,3.232000,3.235300,3.234200,3.235100,3.235300,0.006500,51.772999,0.000000,0.000000,28.022049,28.007889,28.074020,0.066132
2:5:44:6180,03.234900,3.234800,3.239100,3.234900,3.235800,3.235000,3.236600,3.237200,3.233800,3.235400,3.236600,3.232400,3.235900,3.235000,3.235400,3.235800,0.006700,51.778999,0.000000,0.000000,28.026764,28.012573,28.069290,0.056717
2:5:44:8090,03.235000,3.235100,3.239900,3.235600,3.236000,3.235300,3.237200,3.237600,3.234400,3.235800,3.237200,3.232500,3.236100,3.235200,3.235800,3.236400,0.007400,51.785000,0.000000,0.000000,28.022049,28.007889,28.069290,0.061401
2:5:45:0130,03.235500,3.235100,3.240000,3.235400,3.236100,3.235600,3.237300,3.237800,3.234400,3.236000,3.237400,3.233000,3.236600,3.235300,3.236200,3.236400,0.007000,51.790001,0.000000,0.000000,28.031479,28.007889,28.069290,0.061401
2:5:45:2490,03.235700,3.235600,3.240400,3.235800,3.236600,3.235600,3.237500,3.238000,3.234600,3.236300,3.237600,3.233400,3.236900,3.235800,3.236400,3.236700,0.007000,51.798000,0.000000,0.000000,28.022049,28.007889,28.074020,0.066132
2:5:45:4600,03.236500,3.236100,3.240500,3.236200,3.236800,3.236300,3.238200,3.238500,3.235200,3.236800,3.238200,3.233700,3.237300,3.236000,3.236900,3.237100,0.006800,51.803001,0.000000,0.000000,28.026764,28.007889,28.074020,0.066132
2:5:45:6670,03.237000,3.236400,3.241300,3.236600,3.237400,3.236900,3.238400,3.239100,3.235700,3.237200,3.238600,3.234200,3.237700,3.237200,3.237400,3.237800,0.007100,51.807999,0.000000,0.000000,28.031479,28.012573,28.074020,0.061447
2:5:45:8610,03.236900,3.236800,3.241300,3.237200,3.237800,3.237100,3.238600,3.239200,3.236000,3.237400,3.238600,3.234600,3.237700,3.237100,3.237500,3.238000,0.006700,51.813000,0.000000,0.000000,28.036240,28.007889,28.078720,0.070831
2:5:46:0610,03.237000,3.237300,3.241400,3.237200,3.238000,3.237300,3.239000,3.239800,3.236400,3.237800,3.239100,3.234800,3.238100,3.237200,3.237700,3.238200,0.006600,51.817001,0.000000,0.000000,28.022049,28.012573,28.083466,0.070892
2:5:46:2700,03.237100,3.236700,3.241400,3.237200,3.237900,3.237600,3.239200,3.239500,3.236300,3.237800,3.239100,3.235000,3.238400,3.237400,3.237900,3.238000,0.006400,51.821999,0.000000,0.000000,28.026764,28.007889,28.069290,0.061401
2:5:46:4640,03.238100,3.237600,3.242000,3.237700,3.238600,3.237900,3.239400,3.239800,3.236800,3.238200,3.239500,3.235200,3.238600,3.237800,3.238400,3.238400,0.006800,51.826000,0.000000,0.000000,28.026764,28.012573,28.078720,0.066147
